,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8
ESCRT-III associated factors,1.6135662,-0.22230025,0.51144284,-0.12544264,-2.2410517,0.5837205,-2.1124,-0.8081784
ESCRT-IV,-0.021163665,0.61998403,0.07889917,-0.16620113,-1.319538,0.69528687,-1.2309484,-0.36574575
ETS transcription factor family,1.7604097,-0.66930795,-0.3281661,-1.5398427,-1.5850096,0.34022313,-2.7676206,0.030018302
EYA transcriptional coactivator and phosphatases,1.4686494,-1.4612551,-0.71719235,0.7567042,-1.7101961,-0.43074518,-2.4489005,2.5592377
Ectonucleoside triphosphate diphosphohydrolase family,1.5974958,0.06584796,-2.0986807,-1.0573714,-1.8107113,0.62444603,-2.0889096,-0.28746608
Ectonucleotide pyrophosphatase/phosphodiesterase family,3.0107486,-1.9476897,-2.6474006,-0.063428104,-2.6252913,0.42418927,-2.6220624,1.4508095
Elongator acetyltransferase complex ,2.2351468,-1.4211222,1.044707,0.31002548,-2.7642677,-0.8830941,-2.1147604,2.2702873
Elongin complex,1.3493629,-1.7064987,-0.5801658,0.036154076,-1.0379276,-1.8846182,-2.6864903,2.6691692
Endoplasmic reticulum to nucleus signaling family,3.597756,-1.0355133,-3.1935003,-1.4950433,-2.7093503,0.7090732,-4.573638,0.3066787
Endoribonucleases,1.3543792,0.040624276,1.1788187,-0.36338425,-1.9840682,-0.17659329,-1.6610084,0.28472602
Endosome-associated recycling protein (EARP) complex,1.6218331,0.15100378,0.5674807,1.4123493,-1.5010227,0.27565497,-0.33980882,0.6588613
Endothelin receptors,2.9455302,-1.6823237,-0.4007,-1.8947626,-2.3722336,1.6795582,-2.9593246,2.4826026
Endothelins,1.3309047,0.9112004,-2.3898947,-1.1764206,-1.1474662,0.27683228,-2.2498066,0.31162938
Engulfment and cell motility proteins,1.6134154,0.77417815,-1.2768636,0.30482882,0.08663868,-0.8556653,-1.3424437,0.5591814
Enolases,1.1476154,-2.0003486,-0.95207745,0.39232287,-0.86086494,0.18027957,-1.2934465,2.0828483
Envelope ERV derived genes,1.4731334,-0.6094612,-0.34093675,-2.4019887,-0.66844827,-0.36710763,-2.3702247,1.8997731
Ephrins,0.7969965,1.0378835,-1.1302482,-1.2295438,-1.056003,0.5672097,-0.90682054,0.8738777
Epsin family,1.795628,-0.1467466,-2.7763085,0.08281498,-0.47680694,0.3722012,-2.0240107,2.0775034
Erb-b2 receptor tyrosine kinases,1.2612735,1.0573493,-1.9431725,-2.5430448,-1.1623867,0.5001949,-1.1608002,1.5299581
Estrogen receptors,3.0010862,-2.0144026,0.5531657,-1.0179027,-3.2456892,-1.305647,-3.294824,2.965171
Estrogen related receptors,1.8322936,-2.747049,-3.7482262,0.23172723,-2.8533502,0.92036355,-4.33569,2.2216918
Ethanolamine kinase family,3.252686,-0.99022925,-0.9898897,-0.8143745,-3.3795466,-1.311996,-1.4095039,1.7580328
Eukaryotic translation initiation factor 2 alpha kinases,3.3418736,-1.063893,-0.5880236,-2.026914,-2.7956488,0.9046768,-2.9232213,-0.095208116
Eukaryotic translation initiation factor 3,0.33799893,0.17602983,0.3910934,-1.2236043,-1.7512913,0.05992122,-3.6825917,0.73225176
Exocyst complex,1.2411743,0.038158298,0.45808113,0.41321582,-0.6661715,-0.3069567,-1.295785,0.8571044
Exon junction complex,2.152133,-0.31350726,1.8620657,-1.7876315,-2.8813188,-0.6654992,-2.243389,-0.4855083
Exonucleases,1.6840422,-0.024436325,0.33297652,-0.2410603,-1.3411064,-1.1643134,-2.1510513,0.46796542
Exosome complex,1.4476477,-0.69419515,1.3174237,0.13472925,-1.4820151,-0.762349,-1.8868303,0.15428607
Exostosin glycosyltransferase family,1.7125851,-0.38935187,-0.46818915,-0.7459297,-1.0968219,0.7311633,-1.8958673,2.7014015
Exportins,1.8110276,-0.33243972,0.9548184,0.63098997,-1.0250877,-1.4688369,-1.5640051,0.6060622
Extended synaptotagmins,1.3874195,0.510728,0.6660123,-2.1404867,-1.6726084,0.4570508,-2.956791,1.8150322
F-BAR domain containing,1.5760741,-0.6791506,-0.036825396,-1.1024257,-1.2050109,0.48028767,-2.499826,0.12754443
F-box and WD repeat domain containing,1.4589628,-0.0814476,-0.9677147,0.42825943,-0.59100395,-1.3254874,-1.8294938,2.2430608
F-box and leucine rich repeat proteins,2.1387079,-0.2926811,-0.6091655,-0.08452357,-1.2485685,-0.32630458,-1.7350295,0.9042234
F-boxes other,1.7512594,-0.7649758,-0.3882567,0.0762954,-1.4336672,-0.9152787,-1.4717593,1.60757
F2R receptors,1.932136,0.049459964,-2.0406268,-1.9267815,-2.2599194,0.8195775,-3.0313344,0.5546793
FA complementation groups,1.5326657,-0.6291404,0.6793012,-0.4628346,-1.3119438,-2.4458039,-2.0485117,-0.08446308
FA core complex,1.9502981,0.07117283,0.22962973,-0.30262047,-1.1590384,-1.6335104,-2.2967184,0.29266337
FASTK mitochondrial RNA binding family,0.016344257,-1.0237945,-0.43382624,0.5138486,-2.2158744,0.3695199,-2.3654613,-0.41426498
FERM domain containing,1.9259194,-0.52134943,-1.1767551,-0.44287336,-1.1995782,-0.021121815,-1.818732,1.7291069
FERRY complex subunits,2.742686,-0.056338444,0.52700585,0.64769936,-1.6290183,-0.11293112,-1.5187383,1.206501
FET protein family,2.3626685,-1.5001905,1.3995806,0.3164357,-1.1836585,-0.9947411,-2.6443453,-0.46087924
FHF complex,0.84348184,0.5808517,-0.41662624,-0.2434796,-0.48665923,-0.6354868,-2.037965,1.3402276
FKBP prolyl isomerase family,1.7951804,-0.1835064,-0.57536626,-0.9462049,-1.5104437,0.085060805,-2.133791,1.464091
FLYWCH family,3.7516315,-2.6934571,-1.7018424,1.4837573,-1.50939,1.1912493,-4.5993285,2.0950787
FOXM1-MMB complex subunits,0.82938325,-0.020886093,-0.045577563,-1.5220662,-1.4085281,-2.2633994,-2.1598892,-1.1064669
Family with sequence similarity 83 ,0.38207847,1.1789432,-1.6008728,-1.8221326,-1.0953791,-0.6624614,-2.274413,0.46110466
Fascin family,3.3691208,-1.3894975,-1.2488135,0.7290628,-0.80695295,-1.6181473,-2.7029262,2.5386882
Fatty acid binding protein family,0.76511157,-0.97687936,-1.2692711,-1.0863273,-1.0012795,0.7284434,-1.4039123,0.88728625
Fatty acid desaturases,1.113605,-1.1304783,-0.73143137,-1.5646496,-0.8794995,0.6425863,-0.38227248,0.74289346
Fatty acid hydroxylase domain containing,1.9012219,-1.3760967,-1.4405094,-1.6742259,-2.1982555,0.8454159,-0.13701981,0.65314925
Fc receptors,2.1233315,-2.3917024,0.5448273,-1.9148461,-1.8583951,0.24000861,-3.6348927,-0.43493146
Ferlin family,0.7808225,-1.1958237,-0.78269506,-1.0051142,-0.92555135,0.28053284,-2.0717692,0.6665044
Ferredoxin family,2.9138842,-3.2122982,-2.1986396,0.44872493,-2.7519522,1.3513116,-2.191933,2.6053154
Ferritin chains,2.2418218,-1.5703545,-0.8870979,-1.3422655,-2.4510727,0.66287994,-2.8277388,0.31451568
Fes family tyrosine kinases,2.6741202,-0.81885767,0.36360383,-1.6338865,-1.4372396,-0.6275701,-3.5081174,1.7731755
Fibril associated collagens with interrupted triple helices,1.930542,-0.622072,-1.0039679,-0.23090474,-1.1818904,0.07120533,-2.0117884,1.7977626
Fibrillar collagens,0.9235892,0.48690316,-0.006883748,-2.072803,-0.5941895,-0.24854873,-2.3375685,2.468896
Fibrillin family,1.7636831,-0.9954599,-0.40421185,-1.3455186,-1.1283559,-0.5993128,-2.7160099,2.7768328
Fibrinogen C domain containing,1.4370337,-0.7183881,-1.2188872,-2.0790079,-2.0550742,-0.0029918402,-2.2957873,0.9503573
Fibrinogen chains,3.2526605,-4.9421206,-2.1101174,-3.5063913,-3.880886,-0.5032672,-2.9328485,3.0790076
Fibroblast growth factor family,1.6438327,-2.125457,-1.7333639,-0.77598906,-0.94956344,0.61860615,-2.0527105,2.1843407
Fibronectin type III domain containing,2.1199226,-1.7609043,-1.0828586,-0.74546057,-1.2494316,0.206248,-1.9269805,2.0670469
Fibulins,2.3683553,-0.30891836,-0.19163421,-1.8898598,-1.9461052,0.5624677,-3.9643023,3.062215
Filamin family,0.45538038,0.91896343,-0.19079581,-2.2879503,-1.5966346,0.4671393,-2.7858384,1.3300582
Flavin containing monooxygenases,4.2586555,-1.9591577,-3.7275984,1.0871546,-1.321305,-2.9770536,-4.3393703,3.6294658
Flavoproteins,1.5016668,-1.5647777,-1.2857004,-1.1175169,-2.619635,0.19645528,-2.1461363,1.4005708
Flotillins,1.5468414,-2.0149999,1.3154625,-0.9429265,-1.7242734,1.2361671,-3.611583,0.58642066
Forkhead boxes,1.5309265,-1.0693204,-1.3491325,-0.6346666,-0.962786,-0.57641613,-2.008621,1.7477887
Formins,1.2892095,-0.44251847,-0.41369775,-0.81984615,-0.7616088,-0.11881125,-1.7615108,0.5320202
Formyl peptide receptors,2.330444,-2.251291,0.5249334,-3.186098,-2.2725549,0.7548151,-3.1704962,-0.26046637
Fos transcription factor family,2.47179,-0.72783756,-0.19149998,-2.9339907,-1.9452753,0.9771694,-3.004269,0.9715951
Free fatty acid receptors,0.41630113,-1.547962,-1.2505913,-2.086285,-0.6100196,0.31767273,-2.7811656,0.62360036
"Fructose-1,6-bisphosphatases",1.8935895,-2.482501,-3.4247057,-1.1624894,-2.7438066,0.35460865,-4.015683,1.6281748
Fucosyltransferases,1.9827173,-0.34276336,-1.0548108,-0.847355,-1.4251778,0.042357415,-2.2358408,0.23173347
"G protein subunits alpha, group 12/13",2.656878,-1.4094721,1.7138329,-1.0350698,-1.4159265,-0.2349941,-2.5169542,0.26640612
"G protein subunits alpha, group i",1.3705076,-0.72944784,-0.84224945,-0.06355269,-0.45719236,-0.83695996,-0.45510417,1.8776622
"G protein subunits alpha, group q",1.1040542,0.69558084,-0.21355993,-1.406593,-0.9655463,0.5924374,-1.3519363,0.7594789
"G protein subunits alpha, group s",0.8394714,-0.7009802,-0.9980814,0.6537279,-0.13955903,0.5487001,-2.0812697,2.6042542
G protein subunits beta,2.0534248,-0.32260838,0.7109124,-0.6174386,-1.0927325,0.63516945,-1.6730101,0.5816457
G protein subunits gamma,1.0018038,-1.0733591,-0.29879585,-0.72079635,-0.9963586,0.7791146,-1.2083302,0.4735976
G protein-coupled bile acid receptor,3.105098,-1.8687181,-0.59771717,-3.1288333,-1.7722265,0.5367242,-5.054319,1.6932638
G protein-coupled estrogen receptor,4.1254115,-4.4001102,-1.5553994,-1.62043,-4.3319983,2.188418,-3.456451,2.7948544
G protein-coupled receptor kinase family,1.5907747,-1.7294014,-0.29643366,-0.24260552,-0.8790837,-0.30425125,-2.35588,0.72178596
"G protein-coupled receptors, Class A orphans",1.3712088,-1.7236412,-1.2450477,-0.9470651,-0.6423194,0.5472392,-1.2166336,0.9684489
"G protein-coupled receptors, Class C orphans",2.6129675,-0.9691746,-2.7056007,0.16344486,-1.1998117,0.006195143,-2.2020524,2.4127102
"G protein-coupled receptors, Class F frizzled",2.7109036,0.2934608,-1.170572,-0.832062,-2.171112,0.45535457,-3.1184485,2.4735172
G-patch domain containing,1.92867,-0.84396887,0.79102576,0.5281705,-1.084592,-0.78113735,-1.6826336,0.11510313
GAGE family,2.9222674,-1.2966723,-1.8338532,0.540298,-1.2327185,-3.6213274,-2.9046347,3.044027
GATA zinc finger domain containing,2.5282018,-1.1956747,-1.142676,-0.74751174,-1.4495919,-0.38915688,-3.0477288,1.8258685
GATOR1 subcomplex,2.9344046,-1.4353895,-0.37715873,1.7819458,-1.4046084,-1.1192385,-3.5844061,1.7807739
GATOR2 subcomplex,1.4602978,-1.064292,0.5312376,0.5842137,-1.1709248,-1.1620293,-1.2218504,0.8859831
GBAF complex subunits,1.7576065,0.37320444,0.7323976,-0.13647573,-1.176879,-0.6049029,-1.8670549,0.42604938
GCN5 related N-acetyltransferases,1.5474945,-1.2408357,-0.8062958,-0.08450748,-1.7769272,-0.49636543,-1.4876187,1.4263778
GDNF family ligands,1.551433,-0.09163877,-1.9101183,-0.9886857,-1.19389,0.29201013,-2.2409217,2.0186272
GET4-GET5 transmembrane domain recognition complex subunits,1.9933461,-2.0539684,-1.7628996,1.3419658,-0.99569553,0.0898623,-2.9587197,1.9740788
GINS complex,0.87852913,-0.4863191,0.6895462,-0.84859335,-1.7595804,-2.2527902,-1.6285949,-0.57613206
GIY-YIG endonuclease domain containing,1.932822,-2.3488276,-1.4760828,-1.1510249,-1.5354853,0.047821477,-3.237919,-1.3254254
GLIPR family ,2.9380136,-1.8552386,-0.4885361,0.34099436,-1.1866345,-2.1617863,-2.1960695,2.8395565
GOLD domain containing,0.9930415,-0.5915992,-0.44068387,-1.1242301,-2.734742,0.41830772,-2.2130797,1.0123769
GPN-loop GTPases,1.6547768,-0.7370298,1.3128383,-0.5696744,-2.3512106,-1.2465285,-2.3996966,0.88900465
GRAM domain containing,3.0713165,-0.85050416,-1.8184474,0.092224285,-1.6043756,0.10525222,-2.3403354,1.4398952
"GTPases, IMAP",2.2405157,-2.311182,1.2718477,-2.0078127,-3.334413,1.3516638,-4.6283517,-0.20168976
Galactosidases alpha,1.9417247,-0.33869,1.088214,-3.3344715,-3.0377371,0.33186078,-3.5845358,-0.3806871
Galactosidases beta,3.142008,0.2863098,-1.1937934,-0.03440295,-2.397952,-0.8718925,-2.0255194,1.811123
Galanin receptors,0.44027436,-2.3040957,-1.2504206,-1.8003968,-1.2994163,0.31202775,-1.6866653,2.3175805
Galectins,0.696188,-0.16681519,-1.133591,-2.2652187,-1.3019574,0.02281794,-2.7540271,0.24439497
Gamma-aminobutyric acid type A receptor subunits,2.076935,-2.4530993,-2.3241441,0.8435961,-0.03056974,0.7907955,-0.28819156,1.4441931
Gamma-aminobutyric acid type B receptor subunits,2.9900587,-3.0782897,-1.5720887,1.7015746,0.39633638,1.5500427,-0.27628446,1.3685467
Gamma-glutamyltransferases,3.5637863,-1.8285009,-3.410971,-0.19371118,-2.8977675,0.105272874,-3.3441217,1.9229202
Gap junction proteins,0.4843273,-0.48503867,-1.3081992,-1.1401145,-0.3547194,-0.33447623,-1.1899319,1.8004105
Gasdermins,0.76719606,-0.114753425,-0.29149327,-1.3295292,-1.2506168,-0.48994738,-2.0283954,0.84526867
Gelsolin/villins,0.6427453,0.4466119,-1.5525794,-0.8786248,-1.4528334,0.42006588,-2.6010416,-0.04669019
Gemins,1.725459,-0.34955573,0.88553,-0.03610128,-1.929959,-1.27387,-2.1972826,1.0191269
General transcription factor IIA complex subunits,2.2246306,-0.7251122,0.21375275,0.74763834,-1.5342245,-2.7370322,-1.5893497,2.5672581
General transcription factor IID complex subunits,1.6808901,-0.97302413,1.34937,0.010369584,-1.87395,-1.3307713,-2.1673346,0.6444294
General transcription factor IIE complex subunits,3.060948,-0.6509479,0.4004874,-0.45837247,-2.9342456,-1.22966,-2.8578393,0.7072118
General transcription factor IIF complex subunits,1.2268574,0.080222264,0.34948388,1.240216,-0.79758847,-0.6896466,-1.2183523,0.8736354
General transcription factor IIH complex subunits,2.350937,-0.7231802,0.86467636,0.3618009,-2.252597,-0.5805555,-1.3650298,1.4850276
General transcription factor IIIB complex subunits,2.6150298,-0.8956988,0.2532461,1.1096871,-0.86484724,-0.8877635,-2.5598786,1.3974676
General transcription factor IIIC complex subunits,1.1446767,0.39072117,0.5419824,0.7554267,-1.0991421,-0.49599278,-1.4566381,0.7463776
General transcription factors,1.6223648,-1.147174,0.94539523,-1.4167899,-2.3413746,-0.07529603,-3.0438697,-0.187858
Gfo/Idh/MocA-like oxidoreductase domain containing,0.6530267,-1.0217779,0.24428895,-1.0078988,-0.65197384,0.71625936,-1.2991998,0.15533797
Gla domain containing,1.8823321,-1.9403732,-1.1916493,-2.7665894,-3.060108,0.11584258,-2.484772,2.4218032
Glucagon receptor family,3.072735,-3.0626833,-3.7021182,-0.7681122,-1.96754,0.8683406,-2.504336,1.9778144
Glucosaminyl (N-acetyl) transferases/xylosyltransferases,1.6729128,-0.09853765,-1.5278654,-0.8438543,-1.3554411,-0.26993686,-2.7439604,-0.19367489
"Glucose 6-phosphatases, catalytic",3.2399821,-1.9876956,-3.4039469,-0.61259496,-2.027747,0.2997486,-3.2110155,2.2626648
Glucosylceramidases,1.5862179,0.78917277,-1.0860379,-0.8975086,-2.0625598,1.2576123,-1.6241424,-0.59401286
Glutamate ionotropic receptor AMPA type subunits,3.2113297,-3.4647214,-2.986082,1.3739548,0.05346542,1.7723778,-0.09693633,1.8883646
Glutamate ionotropic receptor NMDA type subunits,2.372553,-2.7350686,-2.5410132,1.0152019,0.14355242,0.96122193,-0.09375599,1.5326406
Glutamate ionotropic receptor delta type subunits,4.366238,-3.3757474,-2.3047106,2.0260305,-1.0013152,-2.5283358,-1.5738909,4.17775
Glutamate ionotropic receptor kainate type subunits,2.9750047,-2.6069028,-2.580536,1.9135084,-0.23220879,1.0878162,-0.06955595,1.9796106
Glutamate metabotropic receptors,3.0532477,-3.4307318,-2.6373293,1.8471652,0.42221332,0.032155722,-0.28753668,2.5291054
Glutamic--pyruvic transaminase family,1.2203723,-3.0427434,-3.75384,-1.5234134,-1.7883589,0.23134016,-2.6545293,2.7854805
Glutamic-oxaloacetic transaminase family,0.018502958,-2.1302428,-1.585407,-0.19153558,-1.9644978,-0.080926195,-1.5573819,2.305722
Glutamine amidotransferase class 1 domain containing,1.184125,-0.95701015,0.4768575,-1.603311,-2.1232123,-0.6754997,-1.5309422,1.0281599
Glutamine--fructose-6-phosphate transaminase family,2.639229,-0.034085363,-1.2119926,-1.011153,-1.4433085,0.34454948,-2.5284317,2.4608028
Glutamyl-tRNA amidotransferase subunits,0.87562764,-1.3768513,-0.6696459,-0.13294746,-2.1872115,0.86308116,-1.4413934,0.422784
Glutaredoxin domain containing,0.6233095,-1.6008356,-1.4555827,-0.6178125,-1.0387082,-0.11435582,-1.7317517,1.007199
Glutathione peroxidase family,1.5023443,-1.5342624,-1.0810561,-1.578983,-2.1885085,0.16241316,-3.0153458,1.6658688
Glycerol kinase family,1.9655278,-0.47362182,-1.5706462,-0.41908342,-1.6123836,-1.2745425,-1.6292138,0.9885378
Glycerol-3-phosphate acyltransferases,2.1852605,-2.4873118,-0.5299605,-1.1332589,-3.137994,-0.51453483,-3.290713,1.7007296
Glycine receptors,1.4670902,-2.6974201,-2.0817564,-0.17215,-0.2588352,1.2752817,-1.0376785,2.1548004
Glycogen phosphorylases,-0.43389922,-0.17918777,0.16622204,-1.5699067,-0.21614605,0.5852245,-1.4078875,1.4191118
Glycogen synthase kinase 3 family,1.2672346,-0.117302656,-0.09020015,1.2530816,-0.28902853,-0.31138337,0.02523154,0.66085035
Glycoprotein hormone receptors,2.2621057,-1.3131166,-1.7935059,0.110679045,-1.4040823,-1.4846739,-2.4021266,2.8826168
Glycoprotein hormone subunits,1.2965219,-1.8767736,-1.7854524,-2.251537,-0.71691275,-0.4827655,-2.664067,2.4934268
Glycoside hydrolase family,2.8982902,-1.5558479,-2.0130434,-0.9735006,-2.3664534,0.68320376,-3.6235313,0.28679684
Glycoside hydrolase family 1,1.4689562,-1.4865826,-2.1199381,-0.5992162,-1.1923034,0.7763853,-0.62014157,0.6538887
Glycoside hydrolase family 31,1.6958154,-0.56770605,-2.1903412,-1.1167241,-1.9092048,-0.12635203,-2.4703012,0.48207235
Glycosyl transferases group 1 domain containing,1.8026383,-1.100458,0.08224531,-1.4185205,-2.200325,-0.031143859,-1.9550571,1.1863345
Glycosylphosphatidylinositol transamidase complex,2.165432,0.4234632,-0.7573138,0.063393846,-2.3077805,0.22853293,-2.9163756,0.83074737
Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex,3.174427,-1.2663482,-1.063452,-0.6751916,-1.9463751,-0.5895432,-2.536654,1.6413077
Glycosyltransferase family 2,1.2443802,0.08987668,-0.25610363,-2.3079476,-1.1150384,0.21333148,-2.4023602,0.6533021
Glycosyltransferase family 6,-0.42882532,-0.061692208,-0.50710636,-2.038737,-0.6792328,-1.2470065,-1.4412508,1.7193406
Glycosyltransferase family 8,2.880087,-0.6764978,-0.28945294,-0.97150123,-2.3522754,-0.45062894,-3.192526,2.7699153
Glycosyltransferase family 90,1.9793315,0.12830734,1.4479795,-3.0094426,-2.39151,0.520607,-3.0045216,1.5263898
Glyoxalase domain containing,0.89402133,-0.9953126,-1.5433348,-1.6259915,-3.3122756,1.0918368,-1.5683444,0.5759613
Glypicans,2.2068822,-0.23948461,-0.77706236,-1.4849497,-1.6390855,0.021998122,-2.8369482,2.3439999
Golgi associated RAB2 interactor family,3.4115877,-1.8760512,-2.0252485,0.90802026,-1.4264683,-3.9435475,-2.4589007,3.5247605
Golgi associated kinase family,2.950748,-1.7546031,-0.56585616,-1.6839057,-1.890495,1.052441,-2.7011845,2.8141906
Golgi associated retrograde protein (GARP) complex,2.395295,0.2522392,-0.875177,1.047193,-0.9825334,-0.551348,-2.1866355,0.69606155
"Golgi associated, gamma adaptin ear containing, ARF binding proteins",2.8803596,-1.1806115,0.38894537,0.56100404,-1.2168975,-1.4255773,-3.0875726,0.03466729
Golgin related,3.3770406,-1.2774136,-1.6481261,0.40667444,-1.2325909,-2.9116411,-3.0334885,3.3627703
Golgins,2.4738054,0.80059826,-0.77554375,-0.5884659,-2.1960404,-0.50883263,-2.5300996,1.3488982
Gonadotropin releasing hormone receptors,2.549787,-2.835623,-1.6631751,1.174976,-1.2952201,0.90289855,-0.57698065,1.1408315
Granins,3.549001,-3.1576674,-4.0066137,1.0537974,-0.83770573,1.7935588,-0.3676011,1.4108925
Granule associated serine proteases of immune defence,1.9590113,-1.8562968,-0.63056535,-1.4351588,-1.4367629,-0.3123743,-4.053894,-0.30003205
Growth hormone family,0.92922217,-0.8993621,-0.5324334,-3.335118,-0.66811895,-0.19954312,-2.2894628,1.4513845
Guanosine monophosphate reductase family,2.632193,-1.9166797,-1.1349007,0.4917482,-2.6588764,0.26354134,-3.5714495,2.6326175
Guanylate binding proteins,1.7489558,-1.5111461,0.50811094,-2.8561912,-3.0592282,0.27172148,-3.2020886,0.13660339
Guided entry of tail-anchored proteins complex subunits,3.500143,-1.6669072,-0.99024266,1.7926322,-1.8501186,-0.36573613,-1.898071,3.111027
H/ACA ribonucleoprotein complex,0.61106926,-0.09414062,0.88138777,-0.867116,-1.9356923,0.38294125,-1.8370173,-0.7278532
H1 histones,1.5699127,-1.646416,-2.6001477,-0.6935402,-0.70259064,-0.87801707,-3.0283926,1.1613799
H2A histones,1.1962984,-0.88321936,-1.2076179,-0.50219554,-0.9066619,-0.7721449,-2.1163778,0.26910383
H2B histones,2.3961573,-2.6727664,-1.9816055,-1.0340518,-1.9672492,-0.6195384,-2.9988215,2.1520443
H3 histones,1.3507237,-0.8819494,-0.7794171,-0.2708714,-0.05480703,-0.87385845,-1.4098167,0.45518917
H4 histones,1.222087,-0.65421534,-0.61708325,-0.4700637,-1.5443057,-0.12159599,-2.4203768,-0.17606397
HAD Asp-based non-protein phosphatases,2.4406347,-0.3271293,-1.3274968,-0.41547984,-2.2030373,-0.02788712,-1.9350185,0.7444373
HAD Asp-based protein phosphatases,3.6103153,-3.2742856,-3.086803,1.1448625,-2.5681524,1.1680069,-1.7610683,2.5414484
HAUS augmin like complex ,2.253522,-1.0400587,1.2838473,-0.42713732,-1.2346704,-1.5866088,-2.5742543,-0.13883932
HECT and RLD domain containing E3 ubiquitin protein ligases,1.7501259,-0.9390043,0.49882782,0.046353176,-1.0920225,-0.025862023,-2.2155037,0.8815979
HECT domain containing,1.1806331,-0.060180634,0.19247895,-0.06602205,-1.1777571,-0.8514402,-1.5117283,1.3948853
HIRA histone chaperone complex subunits,2.3943393,-0.5244062,0.19463792,0.8361997,-0.8965418,-1.0784203,-2.3126905,-0.0598106
HNF class homeoboxes,2.73062,-2.0044088,-1.8004203,0.090348616,-1.8901714,-0.060794786,-1.9978654,0.7248963
HOOK family,1.8475673,0.6399785,-2.2473543,-0.008820847,-0.78165793,-0.63806087,-1.3995912,1.2235277
HOOK related protein family,2.8450232,-2.3595219,-0.14900163,-0.23601605,-1.2607101,-1.0744872,-3.2790647,-0.4842346
HOPS complex,3.1036274,-0.79094493,0.5559667,-0.57242674,-2.004968,0.9639596,-0.9646119,1.1422802
HOXL subclass homeoboxes,0.76407254,-0.7672368,-1.2455758,-1.2227353,-1.55906,0.11765213,-2.1952662,1.6284771
HUNK family kinases,1.3768784,1.142949,-2.793335,-1.0571605,0.031374626,0.5103342,-0.67211354,0.45049086
HUSH complex,2.8173318,-0.41054899,1.5018325,0.079644546,-2.213457,-0.5602536,-2.0863044,0.0009671245
Haloacid dehalogenase like hydrolase domain containing,1.9658735,-1.3515879,-1.0419338,-0.55181396,-3.693188,0.89818823,-1.9305751,0.5831777
Harbinger transposase derived genes,2.5328636,-0.5494511,0.08201971,0.70002806,-1.5342454,-2.9753828,-2.09975,0.8125887
Heat shock 70kDa proteins,1.828087,-1.6685383,0.090499334,-0.5276622,-1.7274686,-0.51177037,-1.4446115,1.7194896
Heat shock 90kDa proteins,0.76152486,-1.6111102,0.43583527,0.033781514,-1.7698529,0.10921259,-1.6569653,2.5033307
Hedgehog signaling molecule family,3.1865253,-2.232072,-1.8264161,-0.5691841,-2.5616722,-1.5716847,-2.8301055,2.4559598
Helicases,1.4617128,-0.88389504,1.1577144,-0.53921604,-1.7533901,-0.7617007,-2.4883401,-0.48427168
Helix-turn-helix CENPB type domain family,3.250406,-0.83300936,-1.4484831,0.87461555,-1.7350547,-0.43935084,-2.6672428,2.0831788
Helix-turn-helix motif Psq family,1.7239774,0.55544794,-0.18956527,-0.82814,-2.441365,-0.96784407,-1.9181988,-0.6396977
Heme peroxidase family,1.7719901,-2.100792,-1.6093508,-0.560366,-0.95032424,-0.05848424,-2.9457004,1.6885617
Hemoglobin subunits,1.70559,-2.4400795,-1.7399224,-1.7757121,-0.300112,-0.36442757,-2.5934775,1.4117117
Heparanase family,1.8633354,0.2502537,0.12318375,-1.2885004,-2.0622742,-1.0465984,-2.1366227,-0.39154238
Heparin binding growth factor family,1.1981841,-1.0811758,0.33561406,0.50966436,-0.9734048,-0.9964217,-1.106188,1.4466155
Hepatocyte nuclear factor 4 family,1.9190876,-1.0111609,-3.8290963,-2.0684917,-3.2513757,0.038420096,-2.5928488,-0.04484739
Heterogeneous nuclear ribonucleoproteins,1.952749,-0.6338396,1.5201185,-0.82156754,-2.1588833,-0.36039335,-2.6921027,-0.54191285
Hexokinase family,0.9125639,-1.1156251,-0.5641169,-0.8413166,-0.57616055,-0.14287244,-1.7593482,1.130322
Hexosaminidases,3.4578319,-1.3145561,-0.3372698,-1.0941502,-2.3145292,0.62726766,-3.5403454,0.28109077
Histamine receptors,1.0785927,-1.0514275,-1.107175,-1.1926991,-0.7953859,0.7883104,-1.5037062,-0.38881847
Histatins and statherin,3.223621,-2.2624767,-4.679906,-0.23540093,-1.0095587,0.07419996,-4.9797864,2.9870179
Histidine methyltransferases,1.8075172,-0.26419836,0.027781509,0.20696338,-3.0364,-0.17950504,-2.5063102,1.0456597
Histidine triad superfamily,1.3027797,-1.6245791,-0.29884598,-1.0927788,-3.5574112,0.7548094,-2.038075,0.83884263
"Histone deacetylases, class I",1.5596092,-0.30828282,1.2928267,-1.9438587,-3.357046,1.467545,-1.9108253,1.0365644
"Histone deacetylases, class IIA",1.7061017,-1.3614366,0.91920793,-0.082396135,-0.6901229,0.36634785,-3.270334,1.4655076
"Histone deacetylases, class IIB",2.6445646,-2.2086606,-0.6595118,-0.38866085,-1.6463012,-0.00817503,-2.4605489,0.34914753
"Histone deacetylases, class IV",3.001218,-1.3814228,-3.6057,2.4313116,-0.6306382,-0.3702222,-2.7747977,4.401134
Histone lysine methyltransferases,2.266098,0.14207092,0.38658825,0.07368995,-0.5933332,-1.6681768,-2.3221362,0.6461973
